1,Western Addition/NOPA,Pacific Heights,128
2,Marina/Cow Hollow,Marina/Cow Hollow,148
3,Western Addition/NOPA,Civic Center/Tenderloin,150
4,Western Addition/NOPA,Civic Center/Tenderloin,336
5,Western Addition/NOPA,Western Addition/NOPA,400
6,Marina/Cow Hollow,Marina/Cow Hollow,168
7,Mission,Mission,142
8,Hayes Valley,Twin Peaks,558
9,Financial District,SOMA,312
10,SOMA,SOMA,208
11,Marina/Cow Hollow,Russian Hill,164
12,Financial District,Financial District,6
13,Civic Center/Tenderloin,SOMA,292
14,Potrero Hill,Castro,244
15,SOMA,Bernal Heights,452
16,SOMA,SOMA,276
17,Mission,Miraloma,564
18,Mission,Miraloma,440
20,Mission,Miraloma,248
21,Civic Center/Tenderloin,Union Square,264
22,Western Addition/NOPA,Hayes Valley,260
23,Western Addition/NOPA,Pacific Heights,172
24,SOMA,Civic Center/Tenderloin,172
25,SOMA,Potrero Hill,220
26,Nob Hill,Castro,752
27,Nob Hill,Castro,296
28,Nob Hill,Hayes Valley,402
29,SOMA,Civic Center/Tenderloin,480
30,SOMA,SOMA,210
31,SOMA,Pacific Heights,456
32,Nob Hill,Financial District,240
33,Marina/Cow Hollow,SOMA,608
34,SOMA,SOMA,192
35,Nob Hill,Civic Center/Tenderloin,248
36,SOMA,SOMA,176
37,SOMA,SOMA,174
38,SOMA,Castro,336
39,Financial District,Financial District,320
40,Civic Center/Tenderloin,Mission,304
41,Pacific Heights,Civic Center/Tenderloin,204
42,SOMA,SOMA,148
44,SOMA,SOMA,164
45,SOMA,SOMA,282
46,SOMA,SOMA,236
47,SOMA,Pacific Heights,532
48,Financial District,Russian Hill,270
49,Civic Center/Tenderloin,Mission,268
50,Mission,Bernal Heights,462
51,SOMA,SOMA,220
52,Financial District,Castro,648
53,Nob Hill,North Beach/Telegraph Hill,312
54,SOMA,Castro,452
55,SOMA,SOMA,176
56,Mission,SOMA,232
57,SOMA,North Beach/Telegraph Hill,556
58,SOMA,Financial District,287
59,Pacific Heights,Marina/Cow Hollow,256
60,Pacific Heights,Outer Richmond,740
61,Laurel Heights,Inner Richmond,284
62,Laurel Heights,Inner Richmond,224
63,SOMA,Pacific Heights,516
64,Civic Center/Tenderloin,Mission,252
65,North Beach/Telegraph Hill,Financial District,276
66,Excelsior,Potrero Hill,204
67,SOMA,SOMA,152
68,SOMA,SOMA,726
69,Western Addition/NOPA,Haight-Ashbury,240
70,Pacific Heights,Hayes Valley,476
72,Pacific Heights,Hayes Valley,512
73,SOMA,SOMA,324
74,SOMA,Union Square,268
75,Marina/Cow Hollow,Marina/Cow Hollow,128
76,Western Addition/NOPA,Western Addition/NOPA,164
77,Western Addition/NOPA,Western Addition/NOPA,580
78,Civic Center/Tenderloin,Civic Center/Tenderloin,162
79,Pacific Heights,Pacific Heights,156
80,Marina/Cow Hollow,Pacific Heights,260
81,North Beach/Telegraph Hill,Union Square,168
82,Lower Haight,Hayes Valley,232
83,Potrero Hill,SOMA,116
84,SOMA,Financial District,656
85,Civic Center/Tenderloin,Pacific Heights,160
86,SOMA,Potrero Hill,456
87,SOMA,Mission,492
88,SOMA,SOMA,176
89,Noe Valley,Mission,408
90,Bayview/Hunters Point,Union Square,568
91,Hayes Valley,Pacific Heights,216
92,SOMA,SOMA,144
93,SOMA,SOMA,390
